from_address,to_address,block_number,source,csv_file_path,csv_row_number,transaction_hash,token_address,value
0x0000000000000000000000000000000000000000,0xc2710717d80e151d84df7a8f72cf5ee4b0a92a1f,25113716,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113716.csv,302,0xc3d5eda5c42fc398d16386ac9dad2c4793c04a64a8ff216163828cd265b1f3b7,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,0xc2710717d80e151d84df7a8f72cf5ee4b0a92a1f,25113692,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/token_transfer_25113692.csv,140,0x5b17167d70f31d01cc9e7e1c3087a7f027d70dfd7529d6e11aee43832b6615b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15200000
0x4242da9ed63d73096ba1b84e05aa5d1fd8149493,0xc2710717d80e151d84df7a8f72cf5ee4b0a92a1f,25113690,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/transaction_25113690.csv,105,0xbc922ba4acb7c74e624fe14a1b4946b9b08313879941a6112d102a29e017c0d8,,746705853170897
0xc2b5e5ab67de5ff83b446becd9df8221b76e9ca7,0x93a5fa85128d68c9cd36b2fbb1c5b1ad3e6b8888,25114611,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114601_25114700/token_transfer_25114611.csv,125,0x3117058bc9d79f884b73bef91d3da3db2c49c0cfe9cdc555ea946240b7b5fa38,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0x0000000000000000000000000000000000000000,0xc2b5e5ab67de5ff83b446becd9df8221b76e9ca7,25113716,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113716.csv,290,0xe56131a979563680f0b28e4eb5864a4aba0016310402555325df8cb8ffc392d0,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,0xc2b5e5ab67de5ff83b446becd9df8221b76e9ca7,25113692,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/token_transfer_25113692.csv,136,0x5b17167d70f31d01cc9e7e1c3087a7f027d70dfd7529d6e11aee43832b6615b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15200000
0x055ba0f3f33e1bc383956b8bb05c7a32f40b5a15,0xc2b5e5ab67de5ff83b446becd9df8221b76e9ca7,25113690,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/transaction_25113690.csv,103,0xa149151229478fd4bacc0afe0524808419f0f8612c015b005523315b1e2f59f4,,746281656102402
0x06b7f63332835c9632fc95e0ecafd3e064b75d64,0x93a5fa85128d68c9cd36b2fbb1c5b1ad3e6b8888,25114611,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114601_25114700/token_transfer_25114611.csv,126,0x665596935cc2cafabb77e92a54b5c1ef0cb35d9a9d5842a205e81675575fda95,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0x0000000000000000000000000000000000000000,0x06b7f63332835c9632fc95e0ecafd3e064b75d64,25113716,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113716.csv,378,0x32e379727e8ad42007ae7aef3f82715ececfb649c6b24dfae504d58fa59011cf,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,0x06b7f63332835c9632fc95e0ecafd3e064b75d64,25113692,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/token_transfer_25113692.csv,134,0x5b17167d70f31d01cc9e7e1c3087a7f027d70dfd7529d6e11aee43832b6615b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15200000
