block_number,from_address,to_address,transaction_id,exchange_rate
24956358,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0xb39f4b26eb4e14d17c3f01f0d7ba33907aaeebdb1dadda7ff773725004af317f,2320.9797891300009634661410594560123193428757431886
24956358,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,0x296440d3e5c4d37c499b6ecf682ce4329f4f6c5c4a2a56ef9e07d11a9c4cca40,2320.2796688917863824270715217117122248686376634735
24956359,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x72e1d6c91ed7fbe79b8e01a1b8a0b8768f3563992cf5f153ea40575a46d8a3ab,2320.7488402127668886582492217687464706004657665361
24956359,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x008ed6d9e4e0a6e63a8087f21c9daaa7ab59b525aed92106a0eb08497c7072bd,2321.4680428448620938995215848366738530734561754304
24956359,0xb33bfc3fbcd135bdf647eae5ed0c05501146a52e,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x981bee6a8240fd129467cc1592265ad94e1576124f441246cfb117b953ac7de9,2321.907035888292334609584160484805211692203916007
24956359,0xb33bfc3fbcd135bdf647eae5ed0c05501146a52e,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x981bee6a8240fd129467cc1592265ad94e1576124f441246cfb117b953ac7de9,2321.6061476331470378226742702545555873895071051273
24956359,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0xea290b86e452c2bf57227e33c2e115097011c5547c9e72f47483fdf44553a1f8,2321.9377502195344816301364087321813161344540806961
24956359,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x7089b105739495316a11e6ea505eabed332927c0,0xe2d4e1a3a19d2be916a5211fde9a557defc0f6b2b90f15aeed3384fbb49ec1a9,2321.1841747713434837016514534127064004910662963752
24956360,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x4c82d1fbfe28c977cbb58d8c7ff8fcf9f70a2cca,0x4e8b26dc7399a303be2efbf7a2219924305a883688dd498211c3e592fc2ed7da,2321.1555
24956360,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x63c845761729d075e803bf1bc21cda8a8249e43e3a60253a2a184884f3f3ae9d,2323.1704289615005366899386067676384927057525151211
24956360,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x42e213a3ad048e899b89ea8cb11d21bc97b84748,0x7408ae4c791d10d5f4501d1d0a0df27df34729b32030081ef37af8a3824ed776,2322.5631732785237748830581570820610586452075881633
24956360,0xad6cea45f98444a922a2b4fe96b8c90f0862d2f4,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xf572d78dd328fc50d2aac128b962622afe8457cd9eb4f249de27f50305a06225,2321.69830307036840747017909701693549323025527846
24956360,0xad6cea45f98444a922a2b4fe96b8c90f0862d2f4,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x5be9d9310291c215510a45ec9acef608f10e675522f34fd0f9111d3ce042f2a0,2321.698418358394093769767673783180771058389419359
24956361,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,0xed6103f88917bc9e53965f64e92875f34e1a76a2e36a65b66d917da974417f02,2321.4760629422287466912209796914638180544076263036
24956361,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,0x4658adbf291baea35778a6f9d3c47aaff8458ad9e6a7a55a0983b2582b72db69,2320.7045765759064907331541659582994136446332994519
24956361,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0xbbcdea59a2bb6c10d83ab48a4e78c61c0a4658fdf53225a83c4bd7d267ec80cf,2321.1299475587171261441397681701110966479080615255
24956361,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0xeb728175117ad37cd83a3d2f095303b6a2681b85d515f3212e2b934d615f61bc,2319.9170844602535272423007331310633492658554915823
24956362,0x000000000004444c5dc75cb358380d2e3de08a90,0x0000000aa232009084bd71a5797d089aa4edfad4,0x2b6e093d849e3ab3ea469417ee8c9784b288e5677d0e5ec375c0430fd44a51c2,1117.283827545958474984610459425273972010630635402
24956363,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x81463b0f960f247f704377661ec81c1fd65b5128,0x00284d1697f0996061c7d7ca4b74141346b4c53a6065f3239c9552d9656ddc0c,2321.1107336570380849163469154490665048347124738591
24956363,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x3611b82c7b13e72b26eb0e9be0613bee7a45ac7c,0x20e3c50457169071b65886973fc709d3d5823874521638cd4ec1e3d1dc73c8b5,2320.2202789732557370631622094982136523629267831539
24956363,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0x77a9244fdb98560da7baa46edab2720747774edcebcf7fde2988e9a2d5dc45b5,2321.0888266099252282378440603190616937646729195984
24956363,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x03f8123656e290cc993900fd46124c326bf079b9773bf07274d0aa3c3d5d13ac,2320.8588222171158787151455497454326862180602493527
24956363,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0xebe0fa42523f69ea1e97f5b08282654c19c2c0ee,0x13bc863413460060ee314e74ce5eae6a0744c9c2317d0bf065ed2ab02fe5cb77,2320.8817205662355967143312296782061750823421678409
24956364,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x42e213a3ad048e899b89ea8cb11d21bc97b84748,0x6726739302573a4e88403eb51574fe3d349f5a81f2922067c8dd8857d94df86e,2321.0550990198481415023784103257614687100888300049
24956364,0x8f10b468b06c6fd214b65f87778827f7d113f996,0x76d7c24374aef4a36ee9a3a8c49339ccc84d0743,0x4a2c826a79171c0ecf44279f6f4feefe2c4bc4d4fc73b2491f66792a08c27e9e,2321.2795162303312893482928567485600891844176069631
24956365,0x37b2b4252f3d9222d6a121852b7c6e9c57c6f100,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x75f475d2bca4cf3fd97d311364d369dc5cb7e8b422d5d566fe072c327665b423,2323.5909942318257742140521884085396929366057319832
24956365,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xd1ee705d774d59541d3d395e72a16e48389df7c7,0xffef6bc34756adbe3f90a3ef8be870252d334badc4241c6b686b994a19bfa354,2321.1626
24956365,0x15e2cbb7df22d15a40c7bf6f5a3544fcd09c5f16,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x1bf34435881800fc07a1a9952e84b0910f61f069d4023efc2210a2eb967012e7,2321.6221754908098906989296318540065226605379376474
24956365,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x2c0552e5dcb79b064fd23e358a86810bc5994244,0x34179a5d49193647b3a2b716131ed86bc7b23cfb8e1a8e9976cb341f2278c15c,2320.7384925531666926645501551489353085825849636121
24956366,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0xf8459cdb4ca896f1a1117e2ab4c364909dd5cf7164f36409e1f222ee4e1a4cab,2320.1333917880561485500178370690105632293474473202
24956366,0x00000000075d9aed2e32de0aec3d7fe316514e79,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x7515c452dde13e04d8697aaf730995a5358c4e9cb91df31c2a4d3761c8e4e81c,2320.4166391414967591023859779236002352063138978248
24956366,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x00000000075d9aed2e32de0aec3d7fe316514e79,0x7515c452dde13e04d8697aaf730995a5358c4e9cb91df31c2a4d3761c8e4e81c,2321.1653502354189711761771622175634378823037768789
24956366,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x87bbb1a3bb690117d79956058fd984a1213345d117cc8f5d4ff946d1bf549cf2,2320.7415979469010671753326560261487520413208126037
24956366,0x28b1dc1a5e3699a428bc51d234dfab7c9cb2a183,0x1d27ad3613e84e201bc87929590f95e75454cdc0,0x06e8f5242aa44f43bc550674bc024ee13af836e72503bd8a2d2867cb7f4164e6,2321.4683529300301986640814645735955481942639393257
